topic,angle,audience,tone,duration_target_seconds,preset,language,status
El error que casi todos cometen al usar IA en el trabajo,confiar en la respuesta sin verificar el razonamiento,profesionales que usan IA en el trabajo,directo,42,shorts_spanish_ai_productivity_v1,spanish,done
Cómo pedirle a ChatGPT que piense antes de responder,un prompt de razonamiento paso a paso cambia radicalmente la calidad de la respuesta,usuarios que quieren mejores resultados de IA,práctico,42,shorts_spanish_ai_productivity_v1,spanish,done
La regla de los 3 prompts para ahorrar una hora al día,iterar el prompt reduce el tiempo total más que escribir más rápido,profesionales ocupados con tareas repetitivas,práctico,42,shorts_spanish_ai_productivity_v1,spanish,done
Por qué la IA no te hace más productivo si no sabes delegar,delegar bien es una habilidad que la IA amplifica pero no reemplaza,líderes y profesionales senior,contrarian,42,shorts_spanish_ai_productivity_v1,spanish,done
Cómo convertir una reunión caótica en un plan de acción,la IA puede estructurar el caos si le das el contexto correcto,managers y coordinadores de equipos,práctico,42,shorts_spanish_ai_productivity_v1,spanish,done
El prompt que uso para destrabar decisiones difíciles,formular bien el problema vale más que tener la respuesta,profesionales con bloqueos decisionales,directo,42,shorts_spanish_ai_productivity_v1,spanish,done
Cómo usar IA sin volverte dependiente de la IA,la dependencia ocurre cuando dejas de pensar no cuando delegas tareas,profesionales reflexivos sobre tecnología,equilibrado,42,shorts_spanish_ai_productivity_v1,spanish,manual_qa_pending
La diferencia entre automatizar y pensar mejor,automatizar repite lo que ya haces pensar mejor cambia lo que decides hacer,profesionales con mentalidad de mejora continua,reflexivo,42,shorts_spanish_ai_productivity_v1,spanish,manual_qa_pending
Cómo revisar tu propio trabajo con IA antes de enviarlo,usar IA como revisor externo mejora la calidad sin aumentar el esfuerzo,profesionales que producen reportes o contenido,práctico,42,shorts_spanish_ai_productivity_v1,spanish,manual_qa_pending
Por qué escribir mejores instrucciones vale más que usar más herramientas,la claridad en el prompt determina el valor de cualquier herramienta de IA,todos los usuarios de IA,estratégico,42,shorts_spanish_ai_productivity_v1,spanish,manual_qa_pending
